var			desc
year		GSS YEAR FOR THIS RESPONDENT
id			RESPONDNT ID NUMBER
wrkstat		LABOR FRCE STATUS
hrs1		NUMBER OF HOURS WORKED LAST WEEK
hrs2		NUMBER OF HOURS USUALLY WORK A WEEK
evwork		EVER WORK AS LONG AS ONE YEAR
wrkslf		R SELF-EMP OR WORKS FOR SOMEBODY
wrkgovt		GOVT OR PRIVATE EMPLOYEE
occ80		RS CENSUS OCCUPATION CODE (1980)
prestg80	RS OCCUPATIONAL PRESTIGE SCORE  (1980)
indus80		RS INDUSTRY CODE   (1980)
marital		MARITAL STATUS
agewed		AGE WHEN FIRST MARRIED
divorce		EVER BEEN DIVORCED OR SEPARATED
widowed		EVER BEEN WIDOWED
spwrksta	SPOUSE LABOR FORCE STATUS
sphrs1		NUMBER OF HRS SPOUSE WORKED LAST WEEK
sphrs2		NO. OF HRS SPOUSE USUALLY WORKS A WEEK
spevwork	SPOUSE EVER WORK AS LONG AS A YEAR
spwrkslf	SPOUSE SELF-EMP. OR WORKS FOR SOMEBODY
spocc80		SPOUSE CENSUS OCCUPATION CODE (1980)
sppres80	SPOUSES OCCUPATIONAL PRESTIGE SCORE (1980)
spind80		SPOUSES INDUSTRY CODE (1980)
pawrkslf	FATHER SELF-EMP. OR WORKED FOR SOMEBODY
paocc80		FATHERS CENSUS OCCUPATION CODE (1980)
papres80	FATHERS OCCUPATIONAL PRESTIGE SCORE (1980)
paind80		FATHERS INDUSTRY CODE (1980)
maocc80		MOTHERS CENSUS OCCUPATION CODE (1980)
mapres80	MOTHERS OCCUPATIONAL PRESTIGE SCORE (1980)
mawrkslf	MOTHER SELF-EMP. OR WORKED FOR SOMEBODY
maind80		MOTHERS INDUSTRY CODE (1980)
sibs		NUMBER OF BROTHERS AND SISTERS
childs		NUMBER OF CHILDREN
age			AGE OF RESPONDENT
agekdbrn	R'S AGE WHEN 1ST CHILD BORN
educ		HIGHEST YEAR OF SCHOOL COMPLETED
paeduc		HIGHEST YEAR SCHOOL COMPLETED, FATHER
maeduc		HIGHEST YEAR SCHOOL COMPLETED, MOTHER
speduc		HIGHEST YEAR SCHOOL COMPLETED, SPOUSE
degree		RS HIGHEST DEGREE
padeg		FATHERS HIGHEST DEGREE
madeg		MOTHERS HIGHEST DEGREE
spdeg		SPOUSES HIGHEST DEGREE
sex			RESPONDENTS SEX
race		RACE OF RESPONDENT
res16		TYPE OF PLACE LIVED IN WHEN 16 YRS OLD
reg16		REGION OF RESIDENCE, AGE 16
mobile16	GEOGRAPHIC MOBILITY SINCE AGE 16
family16	LIVING WITH PARENTS WHEN 16 YRS OLD
famdif16	REASON NOT LIVING WITH PARENTS
mawrkgrw	MOTHERS EMPLOYMENT WHEN R WAS 16
incom16		RS FAMILY INCOME WHEN 16 YRS OLD
born		WAS R BORN IN THIS COUNTRY
parborn		WERE RS PARENTS BORN IN THIS COUNTRY
granborn	HOW MANY GRANDPARENTS BORN OUTSIDE U.S.
hompop		NUMBER OF PERSONS IN HOUSEHOLD
babies		HOUSEHOLD MEMBERS LESS THAN 6 YRS OLD
preteen		HOUSEHOLD MEMBERS 6 THRU 12 YRS OLD
teens		HOUSEHOLD MEMBERS 13 THRU 17 YRS OLD
adults		HOUSEHOLD MEMBERS 18 YRS AND OLDER
unrelat		NUMBER IN HOUSEHOLD NOT RELATED
earnrs		HOW MANY IN FAMILY EARNED MONEY
income		TOTAL FAMILY INCOME
rincome		RESPONDENTS INCOME
income06	TOTAL FAMILY INCOME
rincom06	RESPONDENTS INCOME
region		REGION OF INTERVIEW
xnorcsiz	EXPANDED N.O.R.C. SIZE CODE
srcbelt		SRC BELTCODE
size		SIZE OF PLACE IN 1000S
partyid		POLITICAL PARTY AFFILIATION
vote00		DID R VOTE IN 2000 ELECTION
pres00		VOTE FOR GORE, BUSH, NADER
if00who		WHO WOULD R HAS VOTED FOR IN 2000 ELECTION
vote04		DID R VOTE IN 2004 ELECTION
pres04		VOTE FOR KERRY, BUSH, NADER
if04who		WHO WOULD R HAS VOTED FOR IN 2004 ELECTION
polviews	THINK OF SELF AS LIBERAL OR CONSERVATIVE
natspac		SPACE EXPLORATION PROGRAM
natenvir	IMPROVING & PROTECTING ENVIRONMENT
natheal		IMPROVING & PROTECTING NATIONS HEALTH
natcity		SOLVING PROBLEMS OF BIG CITIES
natcrime	HALTING RISING CRIME RATE
natdrug		DEALING WITH DRUG ADDICTION
nateduc		IMPROVING NATIONS EDUCATION SYSTEM
natrace		IMPROVING THE CONDITIONS OF BLACKS
natarms		MILITARY, ARMAMENTS, AND DEFENSE
nataid		FOREIGN AID
natfare		WELFARE
natroad		HIGHWAYS AND BRIDGES
natsoc		SOCIAL SECURITY
natmass		MASS TRANSPORTATION
natpark		PARKS AND RECREATION
natchld		ASSISTANCE FOR CHILDCARE
natsci		SUPPORTING SCIENTIFIC RESEARCH
natspacy	SPACE EXPLORATION -- VERSION Y
natenviy	THE ENVIRONMENT -- VERSION Y
nathealy	HEALTH -- VERSION Y
natcityy	ASSISTANCE TO BIG CITIES -- VERSION Y
natcrimy	LAW ENFORCEMENT -- VERISON Y
natdrugy	DRUG REHABILITATION -- VERSION Y
nateducy	EDUCATION -- VERSION Y
natracey	ASSISTANCE TO BLACKS -- VERSION Y
natarmsy	NATIONAL DEFENSE -- VERSION Y
nataidy		ASSISTANCE TO OTHER COUNTRIES -- VER Y
natfarey	ASSISTANCE TO THE POOR -- VERSION Y
eqwlth		SHOULD GOVT REDUCE INCOME DIFFERENCES
tax			RS FEDERAL INCOME TAX
spkath		ALLOW ANTI-RELIGIONIST TO SPEAK
colath		ALLOW ANTI-RELIGIONIST TO TEACH
libath		ALLOW ANTI-RELIGIOUS BOOK IN LIBRARY
spkrac		ALLOW RACIST TO SPEAK
colrac		ALLOW RACIST TO TEACH
librac		ALLOW RACISTS BOOK IN LIBRARY
spkcom		ALLOW COMMUNIST TO SPEAK
colcom		SHOULD COMMUNIST TEACHER BE FIRED
libcom		ALLOW COMMUNISTS BOOK IN LIBRARY
spkmil		ALLOW MILITARIST TO SPEAK
colmil		ALLOW MILITARIST TO TEACH
libmil		ALLOW MILITARISTS BOOK IN LIBRARY
spkhomo		ALLOW HOMOSEXUAL TO SPEAK
colhomo		ALLOW HOMOSEXUAL TO TEACH
libhomo		ALLOW HOMOSEXUALS BOOK IN LIBRARY
cappun		FAVOR OR OPPOSE DEATH PENALTY FOR MURDER
gunlaw		FAVOR OR OPPOSE GUN PERMITS
courts		COURTS DEALING WITH CRIMINALS
grass		SHOULD MARIJUANA BE MADE LEGAL
relig		RS RELIGIOUS PREFERENCE
denom		SPECIFIC DENOMINATION
other		OTHER PROTESTANT DENOMINATIONS
jew			WHAT SORT OF JEW R IS
fund		HOW FUNDAMENTALIST IS R CURRENTLY
attend		HOW OFTEN R ATTENDS RELIGIOUS SERVICES
reliten		STRENGTH OF AFFILIATION
postlife	BELIEF IN LIFE AFTER DEATH
pray		HOW OFTEN DOES R PRAY
popespks	POPE IS INFALLIBLE ON MATTERS OF FAITH OR MORALS
sprel		SPOUSES RELIGIOUS PREFERENCE
relig16		RELIGION IN WHICH RAISED
denom16		DENOMINATION IN WHICH R WAS RAISED
